Site,Lat,Long,Alt,MAT,Biomass,gymno,dec.angio,eve.angio
AI-BC1,137.17,35.22,335,14.1,191.6822248,0.509702307,0.399575244,0.090722449
AM-EB1,129.45,28.33,330,20.1,367.9882822,0.024024133,0.002317637,0.97365823
AO-BC1,140.85,38.25,120,12.2,297.7016506,0.477291661,0.453765404,0.068942935
AS-DB1,143.51,43.32,360,4.7,173.5007165,0,1,0
AS-DB2,143.51,43.26,340,4.8,198.6031274,0,1,0
AS-DB3,143.5,43.29,380,4.6,103.9176107,0,1,0
AU-DB1,135.74,35.35,720,10.4,219.6066881,0.161695802,0.838281804,2.24E-05
AU-EC1,135.74,35.35,750,10.2,398.9784591,0.840205629,0.15704309,0.002751281
AY-EB1,131.19,32.05,490,14.6,426.854447,0.006590953,0.00259603,0.990813017
CC-AT1,138.82,35.94,900,10.4,335.2370363,1,0,0
CC-DB1,138.8,35.94,1200,8.6,266.3265712,0.166119472,0.823719824,0.010160704
CC-DB2,138.82,35.91,1090,9.2,255.5273462,0.000880878,0.999119122,0
CC-DB3,138.82,35.91,1090,9.2,163.4994793,0.001021173,0.998978827,0
DI-DB1,133.55,35.36,1110,9.1,163.5188659,0,1,0
GR-DB1,132.19,34.69,1150,8.5,279.1390393,0.008515038,0.991484962,0
HD-DB1,133.92,34.7,110,16.1,195.1801451,0,0.812120985,0.187879015
HY-EC1,141.5,39.54,1215,4.6,212.6685062,0.835594697,0.164405303,0
IC-BC1,132.92,33.15,560,13.3,373.6973402,0.555718802,0.027322545,0.416958654
KA-EB1,135.86,34.68,310,14.1,205.6404629,0.238253135,0.17099944,0.590747425
KG-EC1,135.77,35.07,140,15,212.1796272,0.974853271,0.012673782,0.012472947
KI-EC1,137.63,35.72,1175,8.2,311.4896662,0.930196436,0.069803564,0
KJ-EB1,130.55,33.65,450,15.1,353.7366747,0.110718329,0.314088677,0.575192994
KK-DB1,139.84,38.15,543,8.8,309.9260467,0,1,0
KM-DB1,140.86,39.11,435,8.9,256.6489465,0,1,0
KN-EB1,139.01,35.16,600,13.1,216.3170058,0.003300452,0.507624132,0.489075416
KS-DB1,138.52,37.98,125,13.1,246.3599181,0.008659099,0.950652696,0.040688205
KY-DB1,138.5,36.84,1495,5.8,234.5992294,0,1,0
MY-EB1,132.33,34.3,100,16,138.3991372,0.090164623,0.153614574,0.756220803
NB-EC1,140.25,40.08,190,9.4,478.3780809,0.96049831,0.03950169,0
NG-EC1,137.46,35.93,1880,3.3,280.9989353,0.946744324,0.053255676,0
NP-DB1,141.53,43.06,42,7,203.4366304,0.011056359,0.988943641,0
NS-DB1,140.01,37.12,900,12.6,265.7816286,0,1,0
OG-DB1,140.59,36.94,635,10.2,229.3152256,0,1,0
OS-EC1,138.44,38.21,870,8.9,662.5626358,0.931259602,0.068740398,0
OT-EC1,138.5,36.7,1730,4.8,334.8247163,0.831812671,0.168187329,0
OW-EB1,142.16,26.68,290,21.9,437.7250736,0,0.028783685,0.971216315
OY-DB1,138.76,35.96,1425,7.4,114.1666113,0.049001227,0.950998773,0
OZ-DB1,140.89,39.64,460,8.3,223.3876939,0.079404858,0.920595142,0
SD-EB1,133,32.74,320,17,541.7909588,0,0.002406096,0.997593904
SI-DB1,131.1,32.38,1190,10.5,191.3512808,0.179193603,0.755734736,0.065071661
SN-EC1,136.07,34.26,560,12.6,388.0358268,0.63033983,0.089387974,0.280272197
TA-EC1,143.1,43.66,975,2.5,217.6031174,0.911240927,0.088759073,0
TB-DB1,140.1,36.23,780,9.9,292.9956796,0.140488595,0.756196108,0.103315297
TK-DB1,139.8,36.88,925,8.2,223.0992981,0.00181401,0.99818599,0
TM-AT1,141.61,42.68,43,7.7,161.071496,0.698566106,0.301433894,0
TM-AT2,141.59,42.67,36,7.7,146.1940897,0.948107004,0.051892996,0
TM-AT3,141.58,42.71,50,7.7,169.5181419,0.958788924,0.041211076,0
TM-DB1,141.57,42.71,80,7.5,154.3652786,0.043071017,0.956928983,0
TM-DB2,141.59,42.69,64,7.6,142.3780018,0.002589502,0.997410498,0
TM-DB3,141.63,42.67,33,7.8,129.4702854,0.002705049,0.997294951,0
TM-DB4,141.57,42.7,85,7.5,91.96350222,0,1,0
TN-EB1,131.3,31.86,175,17,237.5027205,0.008279559,0.038414027,0.953306414
TT-EB1,129.22,34.15,160,15.4,249.8850532,0.02776302,0.050416946,0.921820034
TZ-DB1,138.99,35.47,1150,8.4,201.8084751,0,0.99974591,0.00025409
UR-BC1,142.28,44.37,335,4.1,230.2523088,0.325096142,0.674903858,0
WK-EC1,135.53,34.07,825,11.1,423.4018626,0.708674867,0.181961875,0.109363258
YK-EB1,130.39,30.37,150,20.1,376.0983433,0.003280195,0.039758185,0.95696162
YN-EB1,128.23,26.74,250,21,147.9306232,0.000890478,0.016898529,0.982210993
YS-EC1,130.57,30.31,1200,13.4,618.2996177,0.839215867,0.04972609,0.111058043